pre_nms_top_n=12000,post_nms_top_n=2000,nms_thresh=.5,min_size=.1,eta=1.
 
Inputs: Anchors{LoDTensor<float, (561, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 11, 17)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 11, 17)>}, Variances{LoDTensor<float, (561, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (130, 1)>}, RpnRois{LoDTensor<float, (130, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (576, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 12, 16)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 12, 16)>}, Variances{LoDTensor<float, (576, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (134, 1)>}, RpnRois{LoDTensor<float, (134, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (576, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 12, 16)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 12, 16)>}, Variances{LoDTensor<float, (576, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (144, 1)>}, RpnRois{LoDTensor<float, (144, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (576, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 16, 12)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 16, 12)>}, Variances{LoDTensor<float, (576, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (130, 1)>}, RpnRois{LoDTensor<float, (130, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (5808, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 44, 44)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 44, 44)>}, Variances{LoDTensor<float, (5808, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (880, 1)>}, RpnRois{LoDTensor<float, (880, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (612, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 17, 12)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 17, 12)>}, Variances{LoDTensor<float, (612, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (147, 1)>}, RpnRois{LoDTensor<float, (147, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (6480, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 40, 54)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 40, 54)>}, Variances{LoDTensor<float, (6480, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (899, 1)>}, RpnRois{LoDTensor<float, (899, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (663, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 13, 17)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 13, 17)>}, Variances{LoDTensor<float, (663, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (181, 1)>}, RpnRois{LoDTensor<float, (181, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (741, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 13, 19)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 13, 19)>}, Variances{LoDTensor<float, (741, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (201, 1)>}, RpnRois{LoDTensor<float, (201, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
Inputs: Anchors{LoDTensor<float, (7440, 4)>}, BboxDeltas{LoDTensor<float, (1, 12, 40, 62)>}, ImShape{LoDTensor<float, (1, 2)>}, Scores{LoDTensor<float, (1, 3, 40, 62)>}, Variances{LoDTensor<float, (7440, 4)>}, Outputs: RpnRoiProbs{LoDTensor<float, (1, 1)>}, RpnRois{LoDTensor<float, (1, 4)>}, RpnRoisNum{LoDTensor<int, (1)>}
